source_row_number,legajo_canonico,row_kind,raw_ubicacion,ncp,ncp_formatted,sec,gru,nmanz,nparc,lon,lat,geolocation_source,location_verification_status,zonificacion,fecha_de_visado,tipo,destino_uso,relevamiento_o_existente,a_contruir_obra_nueva,ampliacion_de_obra_existente,proyectado_no_iniciado,m_existentes_relevados_vivienda,m_existentes_relevados_local,m_a_construir_vivienda,m_a_construir_local
121,112,detail,Avda. Gral Urquiza Nº 1090,0100010000000398--009--,0100010000000398--009--,0,0,398,9,-58.15112045,-32.23165765,automatic,verified_close,Urbana,2025-08-05,Vivienda multifamiliar,vivienda,3,,,,"157,815",,,
122,113,detail,"Rio Iguazu Nº 503, 511, 513, Hernández Nº",0100010000000629--007--,0100010000000629--007--,0,0,629,7,-58.13640325,-32.23025710,automatic,verified_close,Urbana,2025-08-12,Vivienda multifamiliar,vivienda,,3,,,,,"254,41",
123,114,detail,Artigas Nº 200,0100010000000112--013--,0100010000000112--013--,0,0,112,13,-58.13889055,-32.22573225,automatic,verified_close,Urbana,2025-08-12,Local comercial (gimnasio),comercial,,,1,,,,,"211,64"
124,115,detail,Calle Algarrobo s/Nº,0100010162880000--004--,0100010162880000--004--,16,288,0,4,-58.16642670,-32.24268720,automatic,missing_address_point,Periurbana,2025-08-12,Local comerciqal,comercial,1,,,,,"213+9,3/2",,
125,116,detail,Calle Pública s/Nº,0100010170020000--123--,0100010170020000--123--,17,2,0,123,-58.13736740,-32.24782185,automatic,missing_address_point,Periurbana,2025-08-13,Vivienda unifamiliar,vivienda,,,1,,"104,21",,"83,58",
126,117,detail,Artigas Nº 90,0100010000000114--008--,0100010000000114--008--,0,0,114,8,-58.14036620,-32.22425235,automatic,verified_close,Centro,2025-08-21,Cocheras,cocheras,,1,,,,,,"47,005"
127,118,detail,San Martín Nº 1215,0100010000000319--005--,0100010000000319--005--,0,0,319,5,-58.15486190,-32.23169355,automatic,verified_close,Urbana,2025-08-21,Local comercial,comercial,1,,,,,"70,475",,
128,119,detail,Bvard Gaillard s/Nº,0100010000000486--016--,0100010000000486--016--,0,0,486,16,-58.15371745,-32.22404770,automatic,missing_address_point,Urbana,2025-08-22,Galpón - Depósito,galpón - depósito,,1,,,,,,"280,3"
129,120,detail,"J. Bernanrd Nº 214, 216",0100010000000747--012--,0100010000000747--012--,0,0,747,12,-58.13043800,-32.22759740,automatic,missing_address_point,Urbana,2025-08-28,Vivienda multifamiliar,vivienda,3,,,,"43,295",,,
130,121,detail,Moreno Nº 54,0100010000000215--001--,0100010000000215--001--,0,0,215,1,-58.13354185,-32.21987700,automatic,verified_close,Centro,2025-08-28,Vivienda multifamiliar,vivienda,4,,,,422,,,
